"Agency Name:","County of Court","Submitted","Nature of the investigation","Order Served on","Business Name","Items to be searched for:","Start Date for Info","End Date for Info","Grounds for Issuance","Reasons for Delay (if any)","Emergency?","Facts giving rise to the emergency"
"Sacramento County Sheriff's Department","Sacramento","04/28/2017 - 13:26","John & Christoria Bilkei's homicide investigation","Business","Experian, Equifax and TransUnion Credit Bureaus","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
","2007-05-03","2017-04-15","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Stockton Police Department","San Joaquin","04/28/2017 - 14:23","Homicide. Stockton Police Report #17-10784","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-01-01","2017-03-24","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Alameda County District Attorney's Office","Alameda","04/28/2017 - 14:50","36 victims died in the Ghost Ship Warehouse fire on 12/02/2016.","Business","Alameda County Crime Lab","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2013-10-24","2016-12-03","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Alameda County District Attorney's Office","Amador","04/28/2017 - 15:09","36 victims died in the Ghost Ship Warehouse fire on 12/02/2016.","Business","Facebook","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2013-10-24","2016-01-17","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Long Beach Police Department","Los Angeles","04/28/2017 - 15:18","Homicide Investigation of Lanette Washington","Device Only"," ","Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-04-28","2017-04-28","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Pleasanton PD","Alameda","05/01/2017 - 10:21","Phone was abandoned in a vehicle that had been used to steal a trailer.","Device Only"," ","Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-03-27","2017-04-27","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Sacramento Sheriff's Department","Sacramento","05/02/2017 - 08:50","Homicide","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-04-01","2017-05-01","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Los Angeles Police Department ","Los Angeles","05/02/2017 - 08:52","Criminal Investigation ","Device Only"," ","Location information","2017-03-20","2017-05-09","was used as the means of committing a felony"," ","No"," "
"Los Angeles Police Department","Los Angeles","05/02/2017 - 09:06","Unauthorized computer access case in which the victims email was accessed.  This email was sent to the victim as a suspect email.","Business","Microsoft","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Origional IP address of account, connection logs, linked accounts
","2017-01-10","2017-01-13","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Department","Los Angeles","05/02/2017 - 09:11","Unauthorized Computer Access case.  Suspect notifications came from IP addresses listed in the warrant.","Business","Google","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Reverse IP Lookup, connected IP, and linked accounts
","2017-01-10","2017-01-16","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Department","Los Angeles","05/02/2017 - 09:16","Unauthorized Computer Access case.  Suspect made an account in the name of the victim and used an IP address listed it the warrant.","Business","AOL Inc. and Google Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Reverse IP lookup
","2017-01-10","2017-01-11","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"U.S. Marshals Service","San Diego","05/02/2017 - 10:38","This search warrant was obtained pertaining to Larry Jones who had an outstanding felony warrant for robbery and assault with a deadly weapon (firearm). The search warrant was issued under seal with non-disclosure. For this reason, a copy of the warrant will not be uploaded.","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
","2017-04-04","2017-04-06","is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"LAPD","Los Angeles","05/02/2017 - 11:00","Narcotics investigation","Device Only"," ","Location information","2017-04-26","2017-04-30","is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Anaheim Police Department","Orange","05/02/2017 - 13:49","Homicide","Device Only"," ","Other transactional and account records from a service provider
Location information
","2017-01-18","2017-04-28","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Stockton Police Department","San Joaquin","05/02/2017 - 15:25","PC 212.5(a), PC 496(a), and CVC 10851(a)","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-02-20","2017-02-28","was used as the means of committing a felony"," ","No"," "
"Long Beach Police Department ","Los Angeles","05/03/2017 - 08:55","17 year old child having sexual relationship with her 33 year old step-father. ","Business","Verizon Wireless ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-01-01","2017-03-26","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
","No"," "
"Fresno Sheriff's Office","Fresno","05/03/2017 - 09:25","PC459 Commercial Burglary, breaking into a commercial structure for purpose of theft/felony","Business","Amazon LLC","Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
","2016-01-01","2016-11-01","was stolen or embezzled
was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Anaheim Police Department","Orange","05/03/2017 - 14:16","A homicide that occurred in the City of Anaheim that was reported on January 16, 2017","Business","Facebook, Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-10-01","2017-01-18","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Ventura County District Attorney - Bureau of Investigation","Ventura","05/04/2017 - 07:13","Child pornography ","Residence"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2007-05-04","2017-05-03","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Montclair Police Deaprtment","San Bernardino","05/04/2017 - 10:33","Kidnapping","Business","T-Mobile","Location information","2017-03-19","2017-03-20","tends to show that a felony has been committed or that a particular person has committed a felony"," ","Yes","Kidnapping across state lines"
"Ventura County District Attorney","Ventura","05/04/2017 - 10:53","Child ponography","Residence"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2007-05-04","2017-05-02","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"West Covina Police Department","Los Angeles","05/04/2017 - 10:59","Murder investigation","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
","2017-03-22","2017-04-22","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Los Angeles Police Department","Los Angeles","05/04/2017 - 13:28","Bomb threat ","Business","Twitter Inc","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","2017-04-24","2017-04-24","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","Yes","Bomb Threat to American Airlines via Twitter."
"West Covina Police Department","Los Angeles","05/04/2017 - 14:14","Murder Investigation","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-07-01","2017-02-07","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"California Highway Patrol","Santa Clara","05/04/2017 - 16:18","Records or information concerning your electronic communication named in the search warrant was sought by the Regional Enforcement Allied Computer Team pursuant to a search warrant issued on 05/04/2017 in Santa Clara County.
 These records were requested for a criminal investigation pertaining to identity theft in conjunction with computer based fraud that occurred within Santa Clara County during the late 2016 and earl 2017.  These records sought involve subscriber information, financial/billing records, electronic communication, stored data,
 connection logs, and transaction records, with my searching for records that specifically relate to the above mentioned
 investigation.","Business","Verizon, Comcast, and Google","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-09-01","2017-05-01","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"ANTIOCH POLICE DEPT.","Contra Costa","05/04/2017 - 17:59","ROBBERY INVESTIGATION","Business","T-MOBILE","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
","2016-12-01","2017-03-01","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
"," ","No"," "
"San Diego County Sheriff's Department","San Diego","05/05/2017 - 09:10","Victim's personal information used in an attempt to open up credit in their name by suspect.","Business","Capital One financial Corporation","Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
","2017-04-19","2017-07-19","was stolen or embezzled
was used as the means of committing a felony
"," ","No"," "
"San Diego County Sheriff's Department","San Diego","05/05/2017 - 09:12","Victim's personal information was stolen and used in an attempt to open up credit by the suspect.","Business","Credit One bank","Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
","2017-04-19","2017-07-19","was stolen or embezzled
was used as the means of committing a felony
"," ","No"," "
"San Diego County Sheriff's Department","San Diego","05/05/2017 - 09:14","Victim's personal information was stolen and used in an attempt to open up credit by the suspect.","Business","Discover Financial Services","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
","2017-04-19","2017-07-19","was stolen or embezzled
was used as the means of committing a felony
"," ","No"," "
"San Diego County Sheriff's Department","San Diego","05/05/2017 - 09:17","Victim's personal information was stolen and used in an attempt to open up credit by the suspect.","Business","Google","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
","2017-04-19","2017-07-19","was stolen or embezzled
was used as the means of committing a felony
"," ","No"," "
"San Diego County Sheriff's Department","San Diego","05/05/2017 - 09:38","Victim's personal information was stolen and used in an attempt to open up credit by the suspect.","Business","Loan Me","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
","2017-04-19","2017-07-19","was stolen or embezzled
was used as the means of committing a felony
"," ","No"," "
"Tulare Police Department","Tulare","05/05/2017 - 14:29","The cell phone was left inside a stolen vehicle, needed to identify the suspect.","Device Only"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-04-10","2017-04-15","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Walnut Creek Police Department","Contra Costa","05/05/2017 - 17:22","187PC - Homicide","Business","T-Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2015-04-01","2017-04-28","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Butte County Sheriff's Office","Butte","05/07/2017 - 12:10","Homicide","Device Only"," ","Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-01-01","2017-05-07","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","Yes","homicide"
"Sunnyvale Department of Public Safety","Santa Clara","05/08/2017 - 14:54","Murder Investigation.  Suspect was in contact with above number prior to or after the crime.","Business","Metro PCS","Basic subscriber information from a service provider","2014-08-01","2014-08-02","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Sunnyvale Department of Public Safety","Santa Clara","05/08/2017 - 15:02","Murder Investigation.   Suspect contacted number before or after crime.","Business","T-Mobile","Basic subscriber information from a service provider","2014-08-01","2014-08-02","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Sunnyvale Department of Public Safety","Santa Clara","05/08/2017 - 15:05","Murder investigation.  Suspect contacted number before or after incident.","Business","T-Mobile","Basic subscriber information from a service provider","2014-08-01","2014-08-02","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Corona Police Department","Riverside","05/09/2017 - 06:29","Fraud, violation of California Penal Code 532(a).","Business","Microsoft Corporation","Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
","2017-03-18","2017-04-08","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Folsom Police Department ","Sacramento","05/09/2017 - 07:15","Child pornography","Business","Chatstep.com","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-01-01","2017-05-09","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"San Luis Obispo County Sheriff's Office","San Luis Obispo","05/09/2017 - 08:08","Attempt grand theft","Business","Google","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","2017-02-22","2017-02-22","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Santa Maria Police Department","Santa Barbara","05/09/2017 - 12:11","311.11 PC","Business","Google, Comcast, Facebook, T-Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-10-01","2017-05-02","tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to destruction of or tampering with evidence","No"," "
"Los Angeles Police Department","Los Angeles","05/09/2017 - 12:50","Bomb Threat","Business","Tellrite Wireless","Basic subscriber information from a service provider","2017-02-22","2017-02-22","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Orange County Sheriff's Department","Orange","05/09/2017 - 14:18","Ongoing criminal investigation","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2016-10-01","2017-02-22","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles","Los Angeles","05/09/2017 - 17:12","Suspect made bomb threat at business location","Business","Hollywood Mental Health Center","Basic subscriber information from a service provider","2017-02-28","2017-02-28","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Glendale PD","Los Angeles","05/09/2017 - 17:35","Bank Fraud Investigation. ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
","2015-01-01","2016-09-01","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Los Angeles Police","Los Angeles","05/09/2017 - 17:38","Telephonic bomb threat made to business","Business","Fallas Paredes","Basic subscriber information from a service provider","2017-12-05","2017-12-06","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Los Angeles Police","Los Angeles","05/09/2017 - 17:54","Telephonic bomb threat at business.","Business","Ralph's Market No. 701","Basic subscriber information from a service provider","2017-11-22","2017-11-23","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff","Sacramento","05/09/2017 - 18:07","Drug Sales","Device Only"," ","Addressing information (pen register or trap and trace)","2017-03-22","2017-04-21","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Los Angeles Police","Los Angeles","05/09/2017 - 18:16","Telephonic bomb threat at mental health facility.","Business","Los Angeles County Mental Health","Basic subscriber information from a service provider","2016-10-05","2016-10-07","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Los Altos Police Department","Santa Clara","05/10/2017 - 06:37","Use of cellphone during the commission of 10851 VC.","Business","Pinger Inc.","Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
","2017-04-21","2017-04-22","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Novato Police Department","Marin","05/10/2017 - 09:02","Burglary Investigation","Business","Booker, Inc.","Location information","2017-02-13","2017-02-13","was used as the means of committing a felony"," ","No"," "
"Riverside County Sheriff's Department","Riverside","05/10/2017 - 09:09","311.11 PC, 311.1 PC, and 288.3 PC investigation. Report EV171140025. ","Business","Snap, Inc. ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-04-01","2017-05-01","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Sacramento County Sheriff","Sacramento","05/10/2017 - 09:20","Drug/Prostitution Investigation","Device Only"," ","Location information","2017-01-18","2017-02-17","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Sacramento County Sheriff","Sacramento","05/10/2017 - 09:23","Drug/Prostitution Investigation","Device Only"," ","Location information","2017-02-22","2017-04-23","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"LAPD","Los Angeles","05/10/2017 - 11:43","subject was identified as a drug trafficker, distributing illegal drugs throughout southern/northern california","Device Only"," ","Location information","2017-05-10","2019-06-10","was used as the means of committing a felony"," ","No"," "
"Santa Rosa Police Department","Sonoma","05/10/2017 - 13:48","Suspect assaulted victim.  Communication between the two was made via Snapchat.","Device Only"," ","Communications (email, text, voice mail, or other communication)","2017-01-01","2017-02-08","was used as the means of committing a felony"," ","No"," "
"San Francisco Police Department","San Francisco","05/10/2017 - 14:06","To physically search and forensically examine and/or download photographs, email, voicemail, information that may identify the owner, and other communications from 4-27-17 to 5-5-17 relating to burglary investigations that occurred on 5-3-17 to 5-4 17 in San Francisco, California.  The warrant relates to SFPD 170-361-906, 170-361-821, and 170-362-302.","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
information that may identify the owner.
","2017-04-27","2017-05-05","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Sacramento County Sheriff","Sacramento","05/10/2017 - 15:24","Homicide of Janet Mejia","Business","TransUnion, Experin, Equifax","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","2017-01-01","2017-04-12","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Burbank Police Department","Los Angeles","05/10/2017 - 16:26","Attempted Murder / Armed Robbery Series","Device Only"," ","Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","2017-02-16","2017-04-20","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Redding Police Department","Shasta","05/11/2017 - 10:03","A robbery at Win River Casino in Redding, CA on 04-19-17","Business","AT&T, Verizon, T-Mobile and Sprint ","Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","2017-04-19","2017-04-19","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Redding Police Department","Shasta","05/11/2017 - 10:17","An attempted homicide on Eugenia St in Redding, CA on 04-22-17","Business","AT&T, Verizon, T-Mobile and Sprint ","Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","2017-04-22","2017-04-22","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Sacramento County Sheriff's Department","Sacramento","05/11/2017 - 10:22","At risk missing person","Device Only"," ","Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","2017-04-12","2017-05-12","was stolen or embezzled
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","Yes","At risk missing person"
"California Department of Insurance","San Bernardino","05/11/2017 - 11:14","Insurance fraud / life insurance 550 PC","Business","Microsoft Corporation","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2014-04-20","2017-02-09","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Fresno Police Department","Fresno","05/11/2017 - 14:25","Cellular phone belonging to unknown person was located at the scene of a homicide. Search warrant was written for examination of cellular phone contents to determine the identity of subject who left phone, and possibly identify suspect of homicide.","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2007-05-11","2017-05-08","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Berkeley PD","Alameda","05/11/2017 - 14:49","Armed Robbery Investigation","Device Only"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-01-01","2017-02-15","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Berkeley PD","Alameda","05/11/2017 - 14:52","Armed Robbery Investigation","Device Only"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-01-01","2017-02-15","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Berkeley PD","Alameda","05/11/2017 - 15:01","Armed Robbery Investigation","Device Only"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-01-01","2017-02-15","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Anaheim Police Department","Orange","05/12/2017 - 07:43","Cellular phone company has information confirming whereabouts of suspect wanted for felony crime","Business","At&t Wireless","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
","2016-09-27","2017-02-25","was used as the means of committing a felony"," ","No"," "
"California Highway Patrol","Santa Cruz","05/12/2017 - 09:52","A pursuit of a stolen vehicle was conducted by the California Highway Patrol on 5/5/2017. The cell phone is question was located within the stolen vehicle. ","Business
Device Only
","Sprint Corporation","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-05-04","2017-05-06","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution","No"," "
"San Diego Sheriff's Department","San Diego","05/12/2017 - 10:38","This warrant relates to the fraudulent submission of a will in the name of John Hoffman to the San Diego Probate Court","Business","Sequirter Inc. dba LawDepot.com","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
","2015-01-01","2015-06-01","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"Los Angeles Police Department","Los Angeles","05/12/2017 - 17:36","At scene of the murder investigation, a key witness (the Victim's girlfriend) stated that the Victim had contact with someone via the cell phone, after the Victim found the cell phone in his girlfriend's vehicle.  Through the cell phone, the same person accused the Victim of robbing the person's son and further used his possible gang membership to threaten the Victim.  The cell phone, and the information it contains, will be used to implicate or eliminate the person who threatened the Victim as involved in the murder of the Victim. ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-01-01","2017-04-30","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Gilroy Police Department/REACT Task Force","Santa Clara","05/15/2017 - 09:23","Victim was in the process of purchasing a rental property. Unknown suspects posed as the lender and had the victim wire the down payment to a bank account. Victim later found the account was fraudulent. ","Business","Google (Gmail)","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","2017-02-01","2017-05-10","is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery"," ","No"," "
