,Agency Name:,County of Court,Submitted,Nature of the investigation,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency
461,Stockton Police Department,San Joaquin,04/27/2017 - 08:59,The cellular phone was recovered from an abandoned pursuit vehicle. ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-18,2017-04-20,was used as the means of committing a felony, ,No, 
463,San Bernardino County Sheriff's Department,San Bernardino,04/27/2017 - 10:17,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
",2016-04-16,2016-06-18,"tends to show that a felony has been committed or that a particular person has committed a felony
Will assist in locating a person who has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
464,San Bernardino County Sheriff's Department,San Bernardino,04/27/2017 - 10:23,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
",2016-06-13,2016-07-13,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
warrant to arrest
","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
465,San Bernardino County Sheriff's Department,San Bernardino,04/27/2017 - 10:32,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-05-05,2016-06-30,"tends to show that a felony has been committed or that a particular person has committed a felony
Will assist in locating a person who has commited a felony 
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
",No, 
466,San Bernardino County Sheriff's Department,San Bernardino,04/27/2017 - 10:36,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-06-15,2017-07-15,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
Warrant to arrest person
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
467,San Bernardino County Sheriff's Department,San Bernardino,04/27/2017 - 10:40,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
",2016-04-16,2016-06-16,Will assist in locating a person who has commited a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
468,San Bernardino County Sheriff's Department,San Bernardino,04/27/2017 - 10:42,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-06-13,2016-07-13,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
Warrant to arrest person 
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
469,San Bernardino County Sheriff's Department,San Bernardino,04/27/2017 - 10:45,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-06-13,2016-07-13,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
warrant to arrest
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
470,San Bernardino County Sheriff's Department,San Bernardino,04/27/2017 - 10:52,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
",2016-06-15,2016-07-15,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
warrant to arrest a person who has commited a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
471,San Bernardino County Sheriff's Department,San Bernardino,04/27/2017 - 10:57,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-08-11,2016-11-11,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
Warrant to arrest a person who has commited a felony
","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
472,San Bernardino County Sheriff's Department,San Bernardino,04/27/2017 - 11:01,Criminal Investigation ,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-09-04,2016-11-04,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
Warrant to arrest a person who has commited a felony
","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
478,Stockton Police Department,San Joaquin,04/28/2017 - 14:23,Homicide. Stockton Police Report #17-10784,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-01,2017-03-24,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
481,Long Beach Police Department,Los Angeles,04/28/2017 - 15:18,Homicide Investigation of Lanette Washington,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-04-28,2017-04-28,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
482,Pleasanton PD,Alameda,05/01/2017 - 10:21,Phone was abandoned in a vehicle that had been used to steal a trailer.,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-03-27,2017-04-27,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
484,Los Angeles Police Department ,Los Angeles,05/02/2017 - 08:52,Criminal Investigation ,Device Only, ,Location information,2017-03-20,2017-05-09,was used as the means of committing a felony, ,No, 
488,U.S. Marshals Service,San Diego,05/02/2017 - 10:38,"This search warrant was obtained pertaining to Larry Jones who had an outstanding felony warrant for robbery and assault with a deadly weapon (firearm). The search warrant was issued under seal with non-disclosure. For this reason, a copy of the warrant will not be uploaded.",Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
",2017-04-04,2017-04-06,is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery,"lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
489,LAPD,Los Angeles,05/02/2017 - 11:00,Narcotics investigation,Device Only, ,Location information,2017-04-26,2017-04-30,"is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
490,Anaheim Police Department,Orange,05/02/2017 - 13:49,Homicide,Device Only, ,"Other transactional and account records from a service provider
Location information
",2017-01-18,2017-04-28,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, 
493,Fresno Sheriff's Office,Fresno,05/03/2017 - 09:25,"PC459 Commercial Burglary, breaking into a commercial structure for purpose of theft/felony",Business,Amazon LLC,"Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
",2016-01-01,2016-11-01,"was stolen or embezzled
was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
494,Anaheim Police Department,Orange,05/03/2017 - 14:16,"A homicide that occurred in the City of Anaheim that was reported on January 16, 2017",Business,"Facebook, Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-10-01,2017-01-18,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
496,Montclair Police Deaprtment,San Bernardino,05/04/2017 - 10:33,Kidnapping,Business,T-Mobile,Location information,2017-03-19,2017-03-20,tends to show that a felony has been committed or that a particular person has committed a felony, ,Yes,Kidnapping across state lines
498,West Covina Police Department,Los Angeles,05/04/2017 - 10:59,Murder investigation,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
",2017-03-22,2017-04-22,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, 
500,West Covina Police Department,Los Angeles,05/04/2017 - 14:14,Murder Investigation,Device Only, ,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-07-01,2017-02-07,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
502,ANTIOCH POLICE DEPT.,Contra Costa,05/04/2017 - 17:59,ROBBERY INVESTIGATION,Business,T-MOBILE,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2016-12-01,2017-03-01,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
", ,No, 
503,San Diego County Sheriff's Department,San Diego,05/05/2017 - 09:10,Victim's personal information used in an attempt to open up credit in their name by suspect.,Business,Capital One financial Corporation,"Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
",2017-04-19,2017-07-19,"was stolen or embezzled
was used as the means of committing a felony
", ,No, 
504,San Diego County Sheriff's Department,San Diego,05/05/2017 - 09:12,Victim's personal information was stolen and used in an attempt to open up credit by the suspect.,Business,Credit One bank,"Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
",2017-04-19,2017-07-19,"was stolen or embezzled
was used as the means of committing a felony
", ,No, 
505,San Diego County Sheriff's Department,San Diego,05/05/2017 - 09:14,Victim's personal information was stolen and used in an attempt to open up credit by the suspect.,Business,Discover Financial Services,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
",2017-04-19,2017-07-19,"was stolen or embezzled
was used as the means of committing a felony
", ,No, 
506,San Diego County Sheriff's Department,San Diego,05/05/2017 - 09:17,Victim's personal information was stolen and used in an attempt to open up credit by the suspect.,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
",2017-04-19,2017-07-19,"was stolen or embezzled
was used as the means of committing a felony
", ,No, 
507,San Diego County Sheriff's Department,San Diego,05/05/2017 - 09:38,Victim's personal information was stolen and used in an attempt to open up credit by the suspect.,Business,Loan Me,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
",2017-04-19,2017-07-19,"was stolen or embezzled
was used as the means of committing a felony
", ,No, 
509,Walnut Creek Police Department,Contra Costa,05/05/2017 - 17:22,187PC - Homicide,Business,T-Mobile,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-04-01,2017-04-28,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
510,Butte County Sheriff's Office,Butte,05/07/2017 - 12:10,Homicide,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-01,2017-05-07,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",Yes,homicide
519,Orange County Sheriff's Department,Orange,05/09/2017 - 14:18,Ongoing criminal investigation,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-10-01,2017-02-22,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
521,Glendale PD,Los Angeles,05/09/2017 - 17:35,Bank Fraud Investigation. ,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
",2015-01-01,2016-09-01,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
527,Novato Police Department,Marin,05/10/2017 - 09:02,Burglary Investigation,Business,"Booker, Inc.",Location information,2017-02-13,2017-02-13,was used as the means of committing a felony, ,No, 
528,Riverside County Sheriff's Department,Riverside,05/10/2017 - 09:09,"311.11 PC, 311.1 PC, and 288.3 PC investigation. Report EV171140025. ",Business,"Snap, Inc. ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-04-01,2017-05-01,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
529,Sacramento County Sheriff,Sacramento,05/10/2017 - 09:20,Drug/Prostitution Investigation,Device Only, ,Location information,2017-01-18,2017-02-17,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
530,Sacramento County Sheriff,Sacramento,05/10/2017 - 09:23,Drug/Prostitution Investigation,Device Only, ,Location information,2017-02-22,2017-04-23,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
531,LAPD,Los Angeles,05/10/2017 - 11:43,"subject was identified as a drug trafficker, distributing illegal drugs throughout southern/northern california",Device Only, ,Location information,2017-05-10,2019-06-10,was used as the means of committing a felony, ,No, 
535,Burbank Police Department,Los Angeles,05/10/2017 - 16:26,Attempted Murder / Armed Robbery Series,Device Only, ,"Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2017-02-16,2017-04-20,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
536,Redding Police Department,Shasta,05/11/2017 - 10:03,"A robbery at Win River Casino in Redding, CA on 04-19-17",Business,"AT&T, Verizon, T-Mobile and Sprint ","Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2017-04-19,2017-04-19,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
537,Redding Police Department,Shasta,05/11/2017 - 10:17,"An attempted homicide on Eugenia St in Redding, CA on 04-22-17",Business,"AT&T, Verizon, T-Mobile and Sprint ","Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2017-04-22,2017-04-22,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
538,Sacramento County Sheriff's Department,Sacramento,05/11/2017 - 10:22,At risk missing person,Device Only, ,"Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2017-04-12,2017-05-12,"was stolen or embezzled
tends to show that a felony has been committed or that a particular person has committed a felony
", ,Yes,At risk missing person
539,California Department of Insurance,San Bernardino,05/11/2017 - 11:14,Insurance fraud / life insurance 550 PC,Business,Microsoft Corporation,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2014-04-20,2017-02-09,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
545,California Highway Patrol,Santa Cruz,05/12/2017 - 09:52,A pursuit of a stolen vehicle was conducted by the California Highway Patrol on 5/5/2017. The cell phone is question was located within the stolen vehicle. ,"Business
Device Only
",Sprint Corporation,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-05-04,2017-05-06,tends to show that a felony has been committed or that a particular person has committed a felony,lead to flight from prosecution,No, 
547,Los Angeles Police Department,Los Angeles,05/12/2017 - 17:36,"At scene of the murder investigation, a key witness (the Victim's girlfriend) stated that the Victim had contact with someone via the cell phone, after the Victim found the cell phone in his girlfriend's vehicle.  Through the cell phone, the same person accused the Victim of robbing the person's son and further used his possible gang membership to threaten the Victim.  The cell phone, and the information it contains, will be used to implicate or eliminate the person who threatened the Victim as involved in the murder of the Victim. ",Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-01,2017-04-30,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
551,Sunnyvale DPS ,Santa Clara,05/17/2017 - 05:56,Residential Burglary (PC459) and Conspiracy (PC 182) in which the described telephone number was believed to belong to an outstanding suspect. ,Business,T-Mobile,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
",2017-05-10,2017-05-20,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
553,California Department of Insurance,San Bernardino,05/17/2017 - 15:12,550 PC - insurance fraud,Business,Verizon California Legal Compliance,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2014-05-13,2017-07-21,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
557,Fresno Sheriff Office,Fresno,05/18/2017 - 16:21,Vehicle Burglary Series,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-18,2017-04-11,"was stolen or embezzled
was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
558,Fresno Sheriff Office,Fresno,05/18/2017 - 16:24,Vehicle Burglary Series,Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-18,2017-04-11,"was stolen or embezzled
was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
560,San Diego Sheriff's Department,San Diego,05/19/2017 - 13:12,Theft by false pretense regarding the sale of motor vehicles on Craigslist.,Business,Craigslist,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2017-04-01,2017-04-15,was used as the means of committing a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
563,San Bernardino County Sheriff's Department,San Bernardino,05/22/2017 - 12:47,Criminal Investigation,Device Only, ,Location information,2017-02-22,2017-05-22,Warrant to arrest ,"lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
564,Riverside County Sheriff's,Riverside,05/22/2017 - 13:13,The phone number was believed to have been possessed by a wanted fugitive,Device Only, ,"Basic subscriber information from a service provider
Location information
",2017-03-09,2017-05-09,there was a warrant for the persons arrest,"lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
565,San Bernardino County Sheriff's Department,San Bernardino,05/22/2017 - 14:54,Criminal Investigation,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Communications (email, text, voice mail, or other communication)
",2017-02-06,2017-05-06,"tends to show that a felony has been committed or that a particular person has committed a felony
Warrant to arrest 
","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
570,LAPD,Los Angeles,05/23/2017 - 15:29,"Theft investigation for series under 170809503...This is a piggy back under an earlier calecpa warrant under the same report number.  Technically, I don't have the owner of the cell identified, yet, until that information is provided by the carrier in response to this warrant.",Business,T-Mobile,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2017-01-26,2017-05-06,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
576,Long Beach Police Department,Los Angeles,05/24/2017 - 16:06,"288 (c) (1) PC – Lewd act upon child 14 or 15 years old. Defendant 10 + years older & 
261.5(c) PC – Unlawful sexual intercourse [victim 3 years younger than defendant]
",Device Only, ,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2015-01-01,2017-05-02,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
577,"California State University Police Department, San Luis Obispo",San Luis Obispo,05/25/2017 - 11:58,Victim's MacBook Pro laptop was stolen then sold via Craigslist-SLO. This agency is attempting to ID the current possessor for potential recovery.,Business,"Apple, Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
",2017-04-05,2017-05-25,"was stolen or embezzled
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, 
583,Turlock Police Department,Stanislaus,05/30/2017 - 10:52,Homicide investigation,Device Only, ,"Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-11-12,2016-11-13,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
584,Simi Valley Police Department,Ventura,05/30/2017 - 12:26,Identity theft investigation,Business,T-Mobile,"Basic subscriber information from a service provider
Location information
",2017-03-22,2017-03-28,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
587,Los Angeles Police Department,Los Angeles,05/31/2017 - 13:33,"Burglary investigation, LAPD DR No. 17-0109124",Device Only, ,Location information,2017-03-29,2017-04-04,was used as the means of committing a felony,lead to flight from prosecution,No, 
589,Los Angeles Police Department,Los Angeles,05/31/2017 - 14:52,"A statue valued at $300,000 was stolen.  The person using the cell phone number was attempting to sell the statue.",Device Only, ,"Basic subscriber information from a service provider
Location information
",2017-03-28,2017-03-28,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, 
590,Kerman Police Department,Fresno,06/01/2017 - 16:16,cell phone found in stolen car,Device Only, ,"Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-05-09,2017-05-09,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, 
591,Rohnert Park DPS,Sonoma,06/01/2017 - 17:05,Bomb Threat,Business,Gmail,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-03-01,2017-03-09,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
592,Rohnert Park DPS,Sonoma,06/01/2017 - 17:08,Bomb Threat,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-02-01,2017-03-10,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
593,Rohnert Park DPS,Sonoma,06/01/2017 - 17:16,Bomb Threat,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2017-02-01,2017-03-10,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
594,Rohnert Park DPS,Sonoma,06/01/2017 - 17:19,Bomb Threat,Business,"Time Warner, Lyft","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-02-02,2017-03-15,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
595,Rohnert Park DPS,Sonoma,06/01/2017 - 17:21,Bomb Threat,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-02-01,2017-03-15,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
596,Rohnert Park DPS,Sonoma,06/01/2017 - 17:24,Bomb Threat,Business,"CSC Holdings LLC, T-Mobile USA, Inc, Stripe Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2017-01-01,2017-03-16,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
597,Rohnert Park DPS,Sonoma,06/01/2017 - 17:26,Bomb Threat,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2016-11-01,2017-03-10,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, 
